"","time","n.risk","n.event","n.censor","estimate","std.error","conf.high","conf.low","strata"
"1",1,361,72,3,0.800554016620499,0.0262702209728748,0.842853109707651,0.760377729103365,"ppc=0"
"2",2,286,26,0,0.727776378745908,0.0322455401507561,0.775256487578332,0.683204160103194,"ppc=0"
"3",3,260,18,0,0.677391860217345,0.0364122564313014,0.727501917877358,0.630733364425397,"ppc=0"
"4",4,242,4,0,0.666195300544331,0.0373537372391182,0.716798558967683,0.6191644401553,"ppc=0"
"5",5,238,6,0,0.64940046103481,0.0387809984534486,0.7006853516587,0.60186923815933,"ppc=0"
"6",6,232,5,0,0.635404761443543,0.0399863396308353,0.687205930769963,0.587508333073852,"ppc=0"
"7",7,227,12,0,0.601815082424501,0.0429509464873342,0.654670813364836,0.553226730197566,"ppc=0"
"8",8,215,6,3,0.58502024291498,0.044478197003425,0.638308758728837,0.536180461164085,"ppc=0"
"9",9,206,4,19,0.573660626547699,0.0455459781555035,0.627225707138885,0.52467000428321,"ppc=0"
"10",10,183,4,17,0.561121596459224,0.0468673386335902,0.615106809856766,0.51187442728242,"ppc=0"
"11",11,162,4,35,0.547266742225663,0.0485058949868303,0.601848731120087,0.497634823602429,"ppc=0"
"12",12,123,5,27,0.525020126688035,0.0519356988866698,0.581277750021963,0.474207267381394,"ppc=0"
"13",13,91,2,13,0.513481222804781,0.0542610439082739,0.571099330541935,0.461676195492813,"ppc=0"
"14",14,76,11,19,0.439161572135668,0.0719095371546007,0.505631171891203,0.38142997734754,"ppc=0"
"15",15,46,5,12,0.391426618642661,0.0884426085178706,0.465514101196332,0.329130304298576,"ppc=0"
"16",16,29,1,15,0.377929149034293,0.0951505233566341,0.455410104023376,0.313630374969576,"ppc=0"
"17",17,13,7,3,0.174428838015828,0.314320237717254,0.322974443867247,0.0942037988121985,"ppc=0"
"18",19,3,0,3,0.174428838015828,0.314320237717254,0.322974443867247,0.0942037988121985,"ppc=0"
"19",1,125,32,0,0.744,0.0524660668627162,0.824578738805583,0.671295503934296,"ppc=1"
"20",2,93,4,0,0.712,0.0568854555767973,0.795977847423103,0.636882045952886,"ppc=1"
"21",3,89,4,0,0.68,0.0613571991077896,0.766895616291618,0.602950375744707,"ppc=1"
"22",4,85,2,1,0.664,0.0636254097910916,0.752187524965995,0.586151704682861,"ppc=1"
"23",5,82,11,2,0.574926829268293,0.0770556802715955,0.668655605364087,0.494336481083578,"ppc=1"
"24",6,69,3,2,0.549930010604454,0.0812178514271653,0.644822496941652,0.469001962552153,"ppc=1"
"25",7,64,2,4,0.532744697773065,0.0842637030310774,0.62841208747289,0.451641396884426,"ppc=1"
"26",8,58,0,32,0.532744697773065,0.0842637030310774,0.62841208747289,0.451641396884426,"ppc=1"
"27",9,26,0,7,0.532744697773065,0.0842637030310774,0.62841208747289,0.451641396884426,"ppc=1"
"28",10,19,0,18,0.532744697773065,0.0842637030310774,0.62841208747289,0.451641396884426,"ppc=1"
"29",13,1,0,1,0.532744697773065,0.0842637030310774,0.62841208747289,0.451641396884426,"ppc=1"
